0,Strasse
07.01.2021,"BLEICHENHOFSTRAßE, BURGSTRAßE, EGELSEESTRAßE, GRUNDSTRAßE, HANGSTRAßE, HELLENSTRAßE, HEUBERGSTRAßE, HOHENBERGSTRAßE, HORBENLOCH GEWANN, HÖRGELSTRAßE, IM BRÜHL, IM BRÜHL GEWANN, KATZENBERGSTRAßE, KREUZACKERSTRAßE, MAIBLUMENSTRAßE, MERGELACKERSTRAßE, NORDOSTSTRAßE, PIROLSTRAßE, QUELLENSTRAßE, RATHAUSSTRAßE, RINGSTRAßE, SCHLOSSBERGSTRAßE, SIEBENMANNSTRAßE, STEINBÜGELSTRAßE, STEINHOFSTRAßE, STEINKREUZSTRAßE, TALWIESENSTRAßE, VORBERGSTRAßE, WETTERSTEINSTRAßE"
11.01.2021,"AM BURGWEG, AM FRIEDHOF, AM STEINBRUCH, AUF DEM GUGGELENSBERG, BERGBAHNSTRAßE, DÜRRBACHSTRAßE, EICHRODTWEG, FECHTSTRAßE, GRÖTZINGER STRAßE, GYMNASIUMSTRAßE, HALDENWANGSTRAßE, HOTZERWEG, IM EISENHAFENGRUND, IM ZEITVOGEL, IN DER TASCH, JEAN-RITZERT-STRAßE, KASTELLSTRAßE, MACHSTRAßE, NESSLERSTRAßE, NONNENBÜHL, OCHSENSTRAßE, POSSELTSTRAßE, REICHARDTSTRAßE, RITTNERTSTRAßE, SEPP-HERBERGER-WEG, STEINLESWEG, TURMBERGSTRAßE, WOLFWEG"
13.01.2021,"AM DECHANTSBERG, AM LERCHENBERG, AUF DEM SCHLÖSSLE, AUGUST-MACKE-STRAßE, BERGWALDSTRAßE, CARL-HOFER-STRAßE, ELLY-HEUSS-WEG, EMIL-NOLDE-STRAßE, ERICH-HECKEL-STRAßE, ERNST-BARLACH-STRAßE, FRANZ-MARC-STRAßE, GEIGERSBERGSTRAßE, HAHNEMANNSTRAßE, IM KENNENTAL, IM OBERN DECHANTSBERG GEWANN, IM RENNICH, IM ROSENGÄRTLE, JUNG-STILLING-STRAßE, KÄTHE-KOLLWITZ-STRAßE, LOUISE-SCHROEDER-WEG, LUßSTEIGE, LUßSTRAßE, LYONEL-FEININGER-WEG, MAX-BECKMANN-STRAßE, MAX-LIEBERMANN-STRAßE, PAUL-KLEE-STRAßE, PAULA-MODERSOHN-STRAßE, PFISTERGRUND, SCHLÖßLEWEG, STRÄHLERWEG, UNTERER LUSSWEG"
15.01.2021,"ALBERT-EINSTEIN-STRAßE, AM ZÜNDHÜTLE, BADENER STRAßE, ELSA-BRÄNDSTRÖM-STRAßE, FRIDTJOF-NANSEN-STRAßE, HEINRICH-WEITZ-STRAßE, HOOVERSTRAßE, MAX-BORN-STRAßE, MAX-VON-LAUE-STRAßE, STRAßE DES ROTEN KREUZES, WALTHER-BOTHE-STRAßE"
19.01.2021,"ALTER GRABEN, AM RAINLE, BLATTWIESENSTRAßE, BRÜHLSTRAßE, DIETRICHSTRAßE, ECKHARTSTRAßE, GRENZSTRAßE, GUDRUNSTRAßE, HILDEBRANDSTRAßE, IN DEN ERLENGÄRTEN, KÄRNTNER STRAßE, OBERWALDSTRAßE, REICHENBACHSTRAßE, SCHINDWEG, STEIERMÄRKER STRAßE"
21.01.2021,"AUF DEN LOHN, BILFINGER STRAßE, ELLMENDINGER STRAßE, ERSINGER STRAßE, GRAZER STRAßE, IM HABERACKER, LISSENSTRAßE"
25.01.2021,"DIESELSTRAßE, EDGAR-HELLER-STRAßE, ERLACHSEEWEG, EUGEN-LANGEN-STRAßE, FIDUCIASTRAßE, GEIßENRAINWEG, GÖLLNITZER STRAßE, GUT-MAGNUS-STRAßE, HAUERLANDSTRAßE, IM SÄUTERICH, KARPATENSTRAßE, KIESELWEG, KILLISFELDSTRAßE, KREMNITZER STRAßE, LEUTSCHAUER STRAßE, MAYBACHSTRAßE, OTTOSTRAßE, PRESSBURGER STRAßE, SCHLESIER STRAßE, WACHHAUSSTRAßE, ZIPSER STRAßE"
27.01.2021,"BERGSTRAßE, ISPRINGER STRAßE, LEUSSLERSTRAßE, MEMELER STRAßE, OSTMARKSTRAßE, STEGWIESENSTRAßE, TIROLER STRAßE, VORARLBERGER STRAßE, WASGAUSTRAßE, WESTMARKSTRAßE, WILFERDINGER STRAßE"
29.01.2021,"AMALIENBADSTRAßE, AN DER RAUMFABRIK, AUER STRAßE, BLEICHSTRAßE, BLOTTERSTRAßE, CHRISTOFSTRAßE, ERNST-FRIEDRICH-STRAßE, GÄRTNERSTRAßE, GRITZNERSTRAßE, HAUPTBAHNSTRAßE, HERZOGSTRAßE, IM BLUMENWINKEL, KANZLERSTRAßE, KARLSRUHER ALLEE, PFAFFSTRAßE, RAIHERWIESENSTRAßE, ROMMELSTRAßE, SCHINNRAINSTRAßE, STEINMETZSTRAßE"
02.02.2021,"AM STADTGRABEN, AM ZWINGER, AMTHAUSSTRAßE, BÄDERSTRAßE, BASLER-TOR-STRAßE, BREITE GAß, BRUNNENHAUSSTRAßE, HAUCKSTRAßE, IMBERSTRAßE, KARL-WEYSSER-STRAßE, KARLSBURGSTRAßE, KELTERSTRAßE, MARSTALLSTRAßE, MITTELSTRAßE, PALMAIENSTRAßE, PFINZTALSTRAßE, PFORZHEIMER STRAßE, PRINZESSENSTRAßE, REBENSTRAßE, ROLLERSTRAßE, WEIHERHOF, WEIHERSTRAßE, WILLMAR-SCHWABE-STRAßE, ZUR GIEßEREI"
04.02.2021,"AM PFINZTOR, AN DER FAYENCE, AN DER STADTMAUER, BIENLEINSTORSTRAßE, BLUMENTORSTRAßE, EICHELGASSE, ENGELBERT-STROBEL-STRAßE, FRIEDRICH-EBERLE-STRAßE, JÄGERSTRAßE, KERAMIKWEG, KLEINBACHSTRAßE, KÖNIGSTRAßE, LEDERSTRAßE, OBERLINSTRAßE, OCHSENTOR STRAßE, PFINZSTRAßE, RAPPENSTRAßE, SEBOLDSTRAßE, SPITALSTRAßE, TÖPFERWEG, ZEHNTSTRAßE, ZUNFTSTRAßE"
08.02.2021,"ALTE WEINGARTENER STRAßE, BONNDORFER STRAßE, FUNKERSTRAßE, HENGSTPLATZ, HUBSTRAßE, LAMPRECHTSTRAßE, LENZENHUB GEWANN, LENZENHUBWEG, LIEBENSTEINSTRAßE, LÖRRACHER STRAßE, NEUENSTEINSTRAßE, SÄCKINGER STRAßE, SCHOPFHEIMER STRAßE, TIENGENER STRAßE, TRAINSTRAßE, UNTEN AM GRÖTZINGER WEG, UNTERE HUB GEWANN, WALDSHUTER STRAßE"
10.02.2021,"ALTE KARLSRUHER STRAßE, ANTON-BRUCKNER-STRAßE, BEI DEM ELFMORGENBRUCH GEWANN, BRÜCHLESTRAßE, DORNWALDSTRAßE, ELFMORGENBRUCHSTRAßE, FRIEDRICH-RAAB-STRAßE, HANS-PFITZNER-STRAßE, HEINRICH-WITTMANN-STRAßE, HINTERWIESENWEG, IM KRAUTGARTEN, JOHANN-STRAUß-STRAßE, JOSEF-KRAUS-STRAßE, KLEINGÄRTNERWEG, KOYWEG, LORTZINGSTRAßE, MASTWEIDENWEG, MILLÖCKERSTRAßE, PAUL-BÖSS-STRAßE, PFARRER-BLINK-STRAßE, UNTERMÜHLSTRAßE, WEINWEG"
12.02.2021,"ALBERT-SCHWEITZER-STRAßE, AM HAGSFELDER BRUNNEN, BERTHA-VON-SUTTNER-STRAßE, DE-COSTER-STRAßE, ELBINGER STRAßE, ERASMUSSTRAßE, HIRSCHGRABENWEG, IM HIRSCHWINKEL, JOHANNISBURGER STRAßE, LACHENWEG, LYCKER STRAßE, MARIE-CURIE-STRAßE, NEIDENBURGER STRAßE, ORTELSBURGER STRAßE, OSTERODER STRAßE, PASCALSTRAßE, REITSCHULSCHLAG, SANDWEG, STOLPER STRAßE"
17.02.2021,"IM EICHBÄUMLE, KÖNIGSBERGER STRAßE, KÖSLINER STRAßE, WEHLAUER STRAßE"
19.02.2021,"INSTERBURGER STRAßE, KÜSTRINER STRAßE, PILLAUER STRAßE, SCHNEIDEMÜHLER STRAßE"
23.02.2021,"BRAUNSBERGER STRAßE, FRIEDLANDER STRAßE, GLOGAUER STRAßE, KOLBERGER STRAßE, LAUENBURGER STRAßE, LÖTZENER STRAßE, NEISSER STRAßE"
25.02.2021,"AN DER FELDSHÜTTE, BEUTHENER STRAßE, DESSAUER STRAßE, DRESDENER STRAßE, EISENACHER STRAßE, ERFURTER STRAßE, GEROLDSÄCKERWEG, GOTHAER STRAßE, HALLESCHE ALLEE, JENAER STRAßE, LEIPZIGER ALLEE, MAGDEBURGER STRAßE, MEIßENER STRAßE, NAUMBURGER STRAßE, WEIMARER STRAßE, WITTENBERGER STRAßE, ZWICKAUER STRAßE"
